month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage
1,2022,Mt. Auburn,31,13,0,18,246.02,485.19,4705,2583,603,416,113,4.1,0.14324429,0.838284446,1.705475113,1,437565,1794016.5,149600.25,0.083388447,12378.6,0.02828974,0.949962633
1,2022,Mt. Lookout,31,13,0,18,246.02,485.19,5009.64563,2186.556905,1170.804067,611.9989438,164.4673884,4.1,0.013461883,0.972702418,2.299967974,0.13,465897.0436,1910177.879,11901.37631,0.006230507,2362.010583,0.005069812,0.984002737
1,2022,Mt. Washington,31,13,0,18,246.02,485.19,12436.34362,5527.69696,3001.501673,1566.027132,764.2803732,4.1,0.114884969,0.901115514,2.223608197,0.45,1156579.957,4741977.823,256766.306,0.054147513,24538.13803,0.021216119,0.976479146
1,2022,North Avondale - Paddock Hills,31,13,0,18,246.02,485.19,4240.900625,1687.943363,666.8394719,393.2685893,104.1733843,4.1,0.179003648,0.874775752,2.117322946,1,394403.7582,1617055.408,122165.998,0.07554843,11640.14218,0.029513264,0.979837446
1,2022,North Fairmount,31,13,0,18,246.02,485.19,1675.162291,804.6968974,427.8821002,176.4143198,75.05346062,4.1,0.273076923,0.710655115,2.05,1,155790.0931,638739.3816,88848.05456,0.139099071,5884.346062,0.03777099,0.887525176
1,2022,Northside,31,13,0,18,246.02,485.19,8200,4053,1354,559,240,4.1,0.098198865,0.899673792,2.025715194,1,762600,3126660,160921.35,0.051467492,18696.6,0.024516916,0.9756582
1,2022,Oakley,31,13,0,18,246.02,485.19,11265.53423,6513.248036,1219.630191,484.9023569,118.3939394,4.1,0.019999642,0.943024935,1.708637195,1,1047694.684,4295548.202,52668.43636,0.012261168,14117.13333,0.013474473,0.968760576
1,2022,Over-the-Rhine,31,13,0,18,246.02,485.19,5657,3047,795,406,143,4.1,0.208729898,0.875445421,1.708942308,0.65,526101,2157014.1,257150.7,0.11921605,8350.29,0.015872028,1.010533499
1,2022,Pendleton,31,13,0,18,246.02,485.19,1134,550,251,145,40,4.1,0.125454545,0.900215501,2.06,1,105462,432394.2,27898.425,0.064520812,4329,0.04104796,1.005784274
1,2022,Pleasant Ridge,31,13,0,18,246.02,485.19,7184.554194,3642.132893,1438.686145,853.2770971,149.8831291,4.1,0.135636621,0.887994463,1.938428014,1,668163.5401,2739470.514,199739.2176,0.072911614,23473.94929,0.035132042,0.996038119
1,2022,Queensgate,31,13,0,18,246.02,485.19,280.2729084,91.97211155,91.97211155,29.28585657,15.24800797,4.1,0.621052632,0.517487295,2.37,1,26065.38048,106868.06,23094.8507,0.216106203,1042.09243,0.039979943,0.773573441
1,2022,Riverside,31,13,0,18,246.02,485.19,2008.023952,826.0538922,418.1976048,213.6107784,33.59281437,4.1,0.19557669,0.824574948,2.420248307,1,186746.2275,765659.5329,65321.48802,0.085314014,5784.564072,0.030975534,0.940864496
1,2022,Roselawn,31,13,0,18,246.02,485.19,7692,3558,1970,1287,248,4.1,0.24480045,0.708884333,2.11616494,1,715356,2932959.6,352167.075,0.120072256,35919,0.050211363,0.879167952
1,2022,Sayler Park,31,13,0,18,246.02,485.19,2902,1186,710,402,133,4.1,0.15851602,0.861450757,2.442799067,1,269886,1106532.6,76013.1,0.068694858,12519,0.046386252,0.976531867
1,2022,Sedamsville,31,13,0,18,246.02,485.19,556.9760479,196.9461078,158.8023952,65.38922156,21.40718563,4.1,0.322134387,0.747090832,2.69,1,51798.77246,212374.9671,25651.63698,0.120784654,2031.035928,0.039210117,0.907085604
1,2022,South Cumminsville,31,13,0,18,246.02,485.19,766.65452,291.5655221,335.226349,216.8241065,24.42046251,4.1,0.602368866,0.476951667,2.62,1,71298.87036,292325.3685,71011.59692,0.242919721,5645.122915,0.079175489,0.799046877
